title,studio,lifetime_gross,year
Bolt,Disney,114053579,2008
Wild Wild West,WB,113804681,1999
Night at the Museum: Secret of the Tomb,Fox,113746621,2014
Magic Mike,WB,113721571,2012
The Addams Family,Paramount,113502426,1991
The Patriot,Sony,113330342,2000
The Bourne Legacy,Universal,113203870,2012
The Pacifier,Disney,113086868,2005
Dr. Dolittle 2,Fox,112952899,2001
It's Complicated,Universal,112735375,2009
Face/Off,Paramount,112276146,1997
The Hangover Part III,WB,112200072,2013
Twins,Universal,111938388,1988
Enemy of the State,Disney,111549836,1998
The Little Mermaid,Disney,111543479,1989
Mr. Peabody & Sherman,Fox,111506430,2014
The Last Samurai,WB,111127263,2003
Glass,Universal,111035005,2019
Spy,Fox,110825712,2015
Tropic Thunder,Paramount,110515313,2008
Valentine's Day,WB,110485654,2010
The Grudge,Sony,110359362,2004
Fun with Dick and Jane,Sony,110332737,2005
Freaky Friday,Disney,110230332,2003
Trainwreck,Universal,110212700,2015
Bedtime Stories,Disney,110101975,2008
Godzilla: King of the Monsters,WB,110074501,2019
Creed,WB,109767581,2015
The 40-Year-Old Virgin,Universal,109449237,2005
Crocodile Dundee II,Paramount,109306210,1988
Couples Retreat,Universal,109204945,2009
A Time to Kill,WB,108766007,1996
Black Hawk Down,Sony,108638745,2001
Ace Ventura: When Nature Calls,WB,108385533,1995
The Princess Diaries,Disney,108248956,2001
Hop,Universal,108085305,2011
Paranormal Activity,Paramount,107918810,2009
A League of Their Own,Sony,107533928,1992
Epic,Fox,107518682,2013
Watchmen,WB,107509799,2009
The Angry Birds Movie,Sony,107509366,2016
Batman and Robin,WB,107353792,1997
Captain Phillips,Sony,107100855,2013
Black Swan,Fox,106954678,2010
Analyze This,WB,106885658,1999
Chicken Run,DreamWorks,106834564,2000
Miss Congeniality,WB,106807667,2000
Indecent Proposal,Paramount,106614059,1993
Driving Miss Daisy,WB,106593296,1989
300: Rise of An Empire,WB,106580051,2014
The Italian Job,Paramount,106128601,2003
How to Lose a Guy in 10 Days,Paramount,105813373,2003
The LEGO Movie 2: The Second Part,WB,105806508,2019
The First Wives Club,Paramount,105489203,1996
Robin Hood,Universal,105269730,2010
Interview with the Vampire,WB,105264608,1994
George of the Jungle,Disney,105263257,1997
Pitch Perfect 3,Universal,104897530,2017
Phenomenon,Disney,104636382,1996
American Wedding,Universal,104565114,2003
Road to Perdition,DreamWorks,104454762,2002
The Princess and the Frog,Disney,104400899,2009
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104386950,2010
Daddy Day Care,Sony,104297061,2003
Daddy's Home 2,Paramount,104029443,2017
Paranormal Activity 3,Paramount,104028807,2011
Journey 2: The Mysterious Island,WB,103860290,2012
The Mule,WB,103804407,2018
Dick Tracy,Disney,103738726,1990
Rise of the Guardians,Paramount,103412758,2012
Dreamgirls,Paramount,103365956,2006
Independence Day: Resurgence,Fox,103144286,2016
The Expendables,Lionsgate,103068524,2010
Just Go With It,Sony,103028109,2011
Murder on the Orient Express (2017),Fox,102826543,2017
The General's Daughter,Paramount,102705852,1999
American Pie,Universal,102561004,1999
Daredevil,Fox,102543518,2003
The Girl with the Dragon Tattoo (2011),Sony,102515793,2011
The Mummy: Tomb of the Dragon Emperor,Universal,102491776,2008
The Conjuring 2,WB,102470008,2016
The Maze Runner,Fox,102427862,2014
Annabelle: Creation,WB,102092201,2017
The Equalizer 2,Sony,102084362,2018
Jackass Presents: Bad Grandpa,Paramount,102003019,2013
Pacific Rim,WB,101802906,2013
Journey to the Center of the Earth,WB,101704370,2008
Gone in 60 Seconds,Disney,101648571,2000
Maverick,WB,101631272,1994
Sleeping with the Enemy,Fox,101599005,1991
The Equalizer,Sony,101530738,2014
This is the End,Sony,101470202,2013
Eagle Eye,Paramount,101440743,2008
The Prince of Egypt,DreamWorks,101413188,1998
Eraser,WB,101295562,1996
Noah,Paramount,101200044,2014
Unforgiven,WB,101157447,1992
The Cat in the Hat,Universal,101149285,2003
Con Air,Disney,101117573,1997
Sleepy Hollow,Paramount,101071502,1999
Rampage (2018),WB,101028233,2018
Collateral,DreamWorks,101005703,2004
Contact,WB,100920329,1997
Charlie's Angels: Full Throttle,Sony,100830111,2003
The Pelican Brief,WB,100768056,1993
Vanilla Sky,Paramount,100618344,2001
Arrival,Paramount,100546139,2016
Due Date,WB,100539043,2010
The Rugrats Movie,Paramount,100494675,1998
Million Dollar Baby,WB,100492203,2004
A Wrinkle in Time,Disney,100478608,2018
Jumanji,Sony,100475249,1995
Step Brothers,Sony,100468793,2008
Evan Almighty,Universal,100462298,2007
Fifty Shades Freed,Universal,100407760,2018
Casper,Universal,100328194,1995
Bad Teacher,Sony,100292856,2011
Yogi Bear,WB,100246011,2010
Cowboys & Aliens,Universal,100240551,2011
Kingsman: The Golden Circle,Fox,100234838,2017
Edge of Tomorrow,WB,100206256,2014
The Hunchback of Notre Dame,Disney,100138851,1996
Parenthood,Universal,100047830,1989
You Don't Mess with the Zohan,Sony,100018837,2008
Passengers (2016),Sony,100014699,2016
Die Hard: With A Vengeance,Fox,100012499,1995
Gnomeo and Juliet,Disney,99967670,2011
Disney's Christopher Robin,Disney,99215042,2018
Hercules,Disney,99112101,1997
The Green Hornet,Sony,98780042,2011
Date Night,Fox,98711404,2010
Meet the Robinsons,Disney,97822171,2007
Yes Man,WB,97690976,2008
Sausage Party,Sony,97685686,2016
Inspector Gadget,Disney,97403112,1999
Public Enemies,Universal,97104620,2009
The Social Network,Sony,96962694,2010
Schindler's List,Universal,96898818,1993
Panic Room,Sony,96397334,2002
Dead Poets Society,Disney,95860116,1989
Zero Dark Thirty,Sony,95720716,2012
